aten_op,failed,has_sharding,has_decomp,fully_coverable,decomp_ops,blocking_ops,blocking_reasons
aten.normal.float_float,False,False,True,False,aten.add.Tensor;aten.mul.Tensor;prims.normal.default,prims.normal.default,prims.normal.default:no_decomp
aten.normal.Tensor_Tensor,False,False,True,False,aten.add.Tensor;aten.mul.Tensor;prims.normal.default,prims.normal.default,prims.normal.default:no_decomp
aten.ones_like.default,False,True,True,True,,,
aten.ones.default,False,False,True,False,aten.full.default,aten.full.default,aten.full.default:blocked_by_1_ops
aten.permute_copy.default,False,False,True,True,aten.clone.default;aten.permute.default,,
aten.permute.default,False,True,True,True,,,
aten.pixel_shuffle.default,False,False,True,True,aten.clone.default;aten.permute.default;aten.view.default,,
aten.pixel_unshuffle.default,False,False,True,True,aten.clone.default;aten.permute.default;aten.view.default,,
aten.polar.default,False,False,True,True,aten.complex.default;aten.copy_.default;aten.cos.default;aten.mul.Tensor;aten.select.int;aten.sin.default;aten.view_as_real.default,,
aten.polygamma.default,False,True,False,True,,,
aten.pow.Tensor_Scalar,False,True,True,True,,,
aten.pow.Tensor_Tensor,False,True,True,True,,,
aten.prod.default,False,True,True,True,,,
aten.put.default,False,False,False,False,,,
aten.rad2deg.default,False,True,True,True,,,
aten.randint_like.default,False,True,False,True,,,
aten.randint.default,False,False,False,False,,,
aten.randn_like.default,False,True,False,True,,,
aten.randn.default,False,False,True,False,prims.normal.default,prims.normal.default,prims.normal.default:no_decomp
aten.reciprocal.default,False,True,True,True,,,
aten.reflection_pad1d.default,False,False,True,False,aten._unsafe_index.Tensor;aten.abs.default;aten.arange.start;aten.rsub.Scalar,aten._unsafe_index.Tensor;aten.arange.start,aten._unsafe_index.Tensor:decomp_but_untraced;aten.arange.start:decomp_but_untraced
aten.relu.default,False,True,True,True,,,
aten.remainder.Tensor,False,True,True,True,,,
aten.renorm.default,False,False,True,False,aten.add.Tensor;aten.gt.Scalar;aten.linalg_vector_norm.default;aten.mul.Tensor;aten.reciprocal.default;aten.scalar_tensor.default;aten.where.self,aten.scalar_tensor.default,aten.scalar_tensor.default:no_decomp
aten.repeat.default,False,True,True,True,,,
aten.replication_pad1d.default,False,False,True,False,aten._unsafe_index.Tensor;aten.arange.start;aten.clamp.default,aten._unsafe_index.Tensor;aten.arange.start,aten._unsafe_index.Tensor:decomp_but_untraced;aten.arange.start:decomp_but_untraced
aten.replication_pad2d.default,False,False,True,False,aten._unsafe_index.Tensor;aten.arange.start;aten.clamp.default,aten._unsafe_index.Tensor;aten.arange.start,aten._unsafe_index.Tensor:decomp_but_untraced;aten.arange.start:decomp_but_untraced
aten.resize_.default,False,False,False,False,,,
aten.resize_as_.default,False,False,False,False,,,
aten.roll.default,False,False,True,True,aten.clone.default,,
aten.rot90.default,False,False,True,False,aten.flip.default;aten.transpose.int,aten.flip.default,aten.flip.default:blocked_by_1_ops
aten.round.decimals,False,True,True,True,,,
aten.round.default,False,True,True,True,,,
aten.rrelu_with_noise.default,False,False,False,False,,,
aten.rsqrt.default,False,True,True,True,,,
aten.rsub.Tensor,False,False,True,True,aten.sub.Tensor,,
aten.scalar_tensor.default,False,False,False,False,,,
aten.scatter_.value,False,True,True,True,,,
aten.scatter_add.default,False,True,False,True,,,
aten.scatter_reduce.two,False,False,False,False,,,
aten.scatter.src,False,True,False,True,,,
aten.searchsorted.Tensor,False,False,False,False,,,
aten.segment_reduce.default,False,False,False,False,,,
aten.select_scatter.default,False,False,True,False,aten.arange.default;aten.eq.Scalar;aten.expand.default;aten.unsqueeze.default;aten.view.default;aten.where.self,aten.arange.default,aten.arange.default:decomp_but_untraced
aten.select.int,False,True,False,True,,,
aten.sgn.default,False,True,True,True,,,
aten.sigmoid.default,False,True,True,True,,,
aten.sign.default,False,True,True,True,,,
aten.signbit.default,False,True,True,True,,,
aten.silu.default,False,True,True,True,,,
aten.sin.default,False,True,True,True,,,
aten.sinc.default,False,True,True,True,,,
aten.sinh.default,False,True,True,True,,,
aten.slice_scatter.default,False,True,True,True,,,
aten.slice.Tensor,False,True,True,True,,,
aten.smooth_l1_loss.default,False,False,True,True,aten.abs.default;aten.div.Tensor;aten.lt.Scalar;aten.mean.default;aten.mul.Tensor;aten.pow.Tensor_Scalar;aten.sub.Tensor;aten.where.self,,
aten.soft_margin_loss.default,False,False,True,True,aten.exp.default;aten.log1p.default;aten.mean.default;aten.mul.Tensor;aten.neg.default,,
aten.softplus.default,False,False,True,True,aten.div.Tensor;aten.exp.default;aten.gt.Scalar;aten.log1p.default;aten.mul.Tensor;aten.where.self,,
aten.softshrink.default,False,False,True,True,aten.abs.default;aten.gt.Scalar;aten.mul.Tensor;aten.sign.default;aten.sub.Tensor;aten.where.self,,
aten.sort.default,False,True,False,True,,,
aten.special_airy_ai.default,False,False,False,False,,,
aten.special_bessel_j0.default,False,False,True,False,prims.bessel_j0.default,prims.bessel_j0.default,prims.bessel_j0.default:no_decomp
aten.special_bessel_j1.default,False,False,True,False,prims.bessel_j1.default,prims.bessel_j1.default,prims.bessel_j1.default:no_decomp
aten.special_bessel_y0.default,False,False,False,False,,,
aten.special_bessel_y1.default,False,False,False,False,,,
aten.special_chebyshev_polynomial_t.default,False,False,False,False,,,
aten.special_chebyshev_polynomial_u.default,False,False,False,False,,,
aten.special_chebyshev_polynomial_v.default,False,False,False,False,,,
aten.special_chebyshev_polynomial_w.default,False,False,False,False,,,
aten.special_entr.default,False,False,True,False,aten.eq.Scalar;aten.gt.Scalar;aten.isnan.default;aten.log.default;aten.mul.Tensor;aten.neg.default;aten.scalar_tensor.default;aten.where.self,aten.scalar_tensor.default,aten.scalar_tensor.default:no_decomp
aten.special_erfcx.default,False,False,True,False,prims.erfcx.default,prims.erfcx.default,prims.erfcx.default:no_decomp
aten.special_hermite_polynomial_h.default,False,False,False,False,,,
aten.special_hermite_polynomial_he.default,False,False,False,False,,,
aten.special_i0e.default,False,False,True,False,prims.bessel_i0e.default,prims.bessel_i0e.default,prims.bessel_i0e.default:no_decomp
aten.special_i1.default,False,False,True,False,prims.bessel_i1.default,prims.bessel_i1.default,prims.bessel_i1.default:no_decomp
aten.special_i1e.default,False,False,True,False,prims.bessel_i1e.default,prims.bessel_i1e.default,prims.bessel_i1e.default:no_decomp
aten.special_laguerre_polynomial_l.default,False,False,False,False,,,
aten.special_legendre_polynomial_p.default,False,False,False,False,,,
aten.special_log_ndtr.default,False,False,True,False,aten.div.Tensor;aten.erfc.default;aten.log.default;aten.log1p.default;aten.lt.Scalar;aten.mul.Tensor;aten.neg.default;aten.special_erfcx.default;aten.sub.Tensor;aten.where.self,aten.special_erfcx.default,aten.special_erfcx.default:blocked_by_1_ops
aten.special_modified_bessel_i0.default,False,False,False,False,,,
aten.special_modified_bessel_i1.default,False,False,False,False,,,
aten.special_modified_bessel_k0.default,False,False,False,False,,,
aten.special_modified_bessel_k1.default,False,False,False,False,,,
aten.special_ndtri.default,False,False,True,False,prims.ndtri.default,prims.ndtri.default,prims.ndtri.default:no_decomp
aten.special_scaled_modified_bessel_k0.default,False,False,False,False,,,
aten.special_scaled_modified_bessel_k1.default,False,False,False,False,,,
aten.special_shifted_chebyshev_polynomial_t.default,False,False,False,False,,,
aten.special_shifted_chebyshev_polynomial_u.default,False,False,False,False,,,
aten.special_shifted_chebyshev_polynomial_v.default,False,False,False,False,,,
