aten op                                                 sharding     decomp_detail   #opinfos   repl_ok    repl_fail  opinfo_names
aten.clamp_min.default                                  single_dim   explicit        4          3          1          nn.functional.ctc_loss, nn.functional.normalize, nn.functional.triplet_margin_loss, nn.functional.triplet_margin_with_distance_loss
aten.clamp_min_.Tensor                                  decomp       explicit        1          1          0          nn.functional.cosine_similarity
aten.clamp_min_.default                                 decomp       explicit        3          3          0          nn.functional.cosine_embedding_loss, nn.functional.hinge_embedding_loss, nn.functional.margin_ranking_loss
aten.clone.default                                      op_strategy  explicit        38         32         7          cartesian_prod, cdist, clone, fft.hfft, fft.hfft2, fft.hfftn, linalg.matrix_power, linalg.tensorsolve, masked.amax, masked.amin, masked.argmax, masked.argmin, masked.cumprod, masked.cumsum, masked.log_softmax, masked.logaddexp, masked.logsumexp, masked.mean, masked.median, masked.norm, masked.prod, masked.softmax, masked.softmin, masked.std, masked.sum, masked.var, nn.functional.batch_norm, nn.functional.batch_norm(without_cudnn), nn.functional.cosine_similarity, nn.functional.embedding_bag, nn.functional.gaussian_nll_loss, nn.functional.multi_head_attention_forward, nn.functional.scaled_dot_product_attention, ravel, repeat_interleave, resize_, resize_as_, zero_
aten.complex.default                                    decomp       explicit        1          1          1          complex
aten.constant_pad_nd.default                            op_strategy  explicit        18         15         5          constant_pad_nd, fft.fft, fft.fft2, fft.fftn, fft.ifft, fft.ifft2, fft.ifftn, fft.ihfft, fft.ihfft2, fft.ihfftn, fft.rfft, fft.rfft2, fft.rfftn, nn.functional.conv2d, nn.functional.conv3d, nn.functional.local_response_norm, nn.functional.multi_head_attention_forward, nn.functional.pad(constant)
aten.convolution.default                                -            -               6          2          5          nn.functional.conv1d, nn.functional.conv2d, nn.functional.conv3d, nn.functional.conv_transpose1d, nn.functional.conv_transpose2d, nn.functional.conv_transpose3d
aten.copy_.default                                      single_dim   -               4          3          1          diff, linalg.matrix_power, nn.functional.instance_norm, nn.functional.pad(circular)
aten.copysign.Scalar                                    single_dim   explicit        1          1          0          copysign
aten.copysign.Tensor                                    single_dim   explicit        1          1          0          copysign
aten.cos.default                                        single_dim   explicit        1          1          0          cos
aten.cosh.default                                       single_dim   explicit        1          1          0          cosh
aten.count_nonzero.default                              decomp       explicit        1          1          0          count_nonzero
aten.count_nonzero.dim_IntList                          decomp       explicit        1          1          0          count_nonzero
aten.cummax.default                                     -            -               1          0          1          cummax
aten.cummin.default                                     -            -               1          0          1          cummin
aten.cumprod.default                                    decomp       explicit        3          2          3          cumprod, linalg.vander, masked.cumprod
aten.cumsum.default                                     op_strategy  explicit        3          3          0          cumsum, cumulative_trapezoid, masked.cumsum
aten.deg2rad.default                                    single_dim   explicit        1          1          0          deg2rad
aten.detach.default                                     op_strategy  explicit        3          0          3          nanmean, nn.functional.embedding, nn.functional.embedding_bag
aten.diag_embed.default                                 op_strategy  explicit        3          3          0          diag, diag_embed, diagflat
aten.diagonal.default                                   op_strategy  explicit        4          4          0          corrcoef, diagonal, einsum, linalg.diagonal
aten.diagonal_copy.default                              op_strategy  explicit        2          2          0          diag, diagonal_copy
aten.diagonal_scatter.default                           decomp       explicit        1          0          1          diagonal_scatter
aten.digamma.default                                    single_dim   explicit        1          1          0          digamma
aten.dist.default                                       decomp       explicit        1          1          0          dist
aten.div.Scalar                                         single_dim   explicit        5          5          0          cumulative_trapezoid, gradient, nn.functional.cross_entropy, trapezoid, trapz
aten.div.Tensor                                         single_dim   explicit        20         17         3          corrcoef, cov, div(no_rounding_mode), gradient, linalg.cond, masked.mean, masked.normalize, masked.std, masked.var, nanmean, nn.functional.cosine_embedding_loss, nn.functional.cosine_similarity, nn.functional.ctc_loss, nn.functional.gaussian_nll_loss, nn.functional.kl_div, nn.functional.local_response_norm, nn.functional.multilabel_soft_margin_loss, nn.functional.normalize, nn.functional.softsign, true_divide
aten.div.Tensor_mode                                    single_dim   explicit        2          2          0          div(floor_rounding), div(trunc_rounding)
aten.div_.Scalar                                        single_dim   explicit        5          5          1          nn.functional.dropout, nn.functional.dropout2d, nn.functional.dropout3d, nn.functional.multi_head_attention_forward, nn.functional.scaled_dot_product_attention
aten.dot.default                                        op_strategy  explicit        5          5          0          __rmatmul__, dot, inner, matmul, tensordot
aten.elu.default                                        decomp       explicit        2          2          0          nn.functional.elu, nn.functional.selu
aten.embedding.default                                  op_strategy  explicit        1          1          0          nn.functional.embedding
aten.embedding_renorm_.default                          -            -               2          0          2          nn.functional.embedding, nn.functional.embedding_bag
aten.empty.memory_format                                -            -               6          5          3          empty, linalg.matrix_rank, linalg.matrix_rank(hermitian), nn.functional.batch_norm, nn.functional.batch_norm(without_cudnn), nn.functional.instance_norm
aten.empty_like.default                                 op_strategy  explicit        8          7          2          empty_like, nn.functional.alpha_dropout, nn.functional.cosine_embedding_loss, nn.functional.dropout, nn.functional.hinge_embedding_loss, nn.functional.multi_head_attention_forward, nn.functional.rrelu, nn.functional.scaled_dot_product_attention
aten.eq.Scalar                                          single_dim   explicit        3          1          2          logdet, nn.functional.cosine_embedding_loss, nn.functional.ctc_loss
aten.eq.Tensor                                          single_dim   explicit        3          3          0          eq, isclose, isfinite
aten.equal.default                                      op_strategy  -               5          5          0          corrcoef, cov, equal, nanquantile, quantile
aten.erf.default                                        single_dim   explicit        2          2          0          erf, special.ndtr
aten.erfc.default                                       single_dim   explicit        1          1          0          erfc
aten.erfinv.default                                     single_dim   explicit        1          1          0          erfinv
aten.exp.default                                        single_dim   explicit        3          3          0          exp, nn.functional.kl_div, nn.functional.poisson_nll_loss
aten.exp2.default                                       single_dim   explicit        1          1          0          exp2
aten.expand.default                                     op_strategy  explicit        41         34         8          __rmatmul__, broadcast_tensors, broadcast_to, cartesian_prod, cdist, combinations, expand, expand_as, linalg.matrix_power, linalg.pinv(singular), linalg.vander, masked.amax, masked.amin, masked.argmax, masked.argmin, masked.cumprod, masked.cumsum, masked.log_softmax, masked.logaddexp, masked.logsumexp, masked.mean, masked.median, masked.norm, masked.prod, masked.softmax, masked.softmin, masked.std, masked.sum, masked.var, matmul, meshgrid(list_of_tensors), meshgrid(variadic_tensors), nn.functional.binary_cross_entropy, nn.functional.cosine_similarity, nn.functional.normalize, nn.functional.scaled_dot_product_attention, pca_lowrank, quantile, repeat_interleave, svd_lowrank, take_along_dim
aten.expand_copy.default                                op_strategy  explicit        1          1          0          expand_copy
aten.expm1.default                                      single_dim   explicit        1          1          0          expm1
aten.exponential_.default                               decomp       explicit        1          0          1          exponential
aten.eye.default                                        decomp       explicit        1          1          0          linalg.matrix_power
aten.fill.Scalar                                        decomp       explicit        1          1          0          fill
aten.fill_.Scalar                                       op_strategy  explicit        4          4          0          linalg.matrix_rank, linalg.matrix_rank(hermitian), nn.functional.cosine_embedding_loss, nn.functional.hinge_embedding_loss
aten.flip.default                                       single_dim   explicit        3          3          0          flip, fliplr, flipud
aten.floor.default                                      single_dim   explicit        1          1          0          floor
aten.floor_divide.default                               decomp       explicit        1          1          0          floor_divide
aten.fmax.default                                       single_dim   explicit        1          1          0          fmax
aten.fmin.default                                       single_dim   explicit        1          1          0          fmin
aten.fmod.Tensor                                        single_dim   explicit        1          1          0          fmod
aten.frac.default                                       single_dim   explicit        1          1          0          frac
aten.fractional_max_pool2d.default                      -            -               1          0          1          nn.functional.fractional_max_pool2d
aten.fractional_max_pool3d.default                      -            -               1          0          1          nn.functional.fractional_max_pool3d
aten.frexp.Tensor                                       decomp       explicit        1          1          0          frexp
aten.full.default                                       decomp       explicit        5          2          3          combinations, linalg.matrix_rank, linalg.matrix_rank(hermitian), linalg.pinv, pinverse
aten.full_like.default                                  op_strategy  -               3          3          0          full_like, nanquantile, quantile
aten.gather.default                                     op_strategy  -               4          4          0          gather, nanquantile, quantile, take_along_dim
aten.ge.Scalar                                          single_dim   explicit        3          3          0          cov, nanquantile, quantile
aten.ge.Tensor                                          single_dim   explicit        1          1          0          ge
aten.gelu.default                                       single_dim   explicit        1          1          0          nn.functional.gelu
aten.geometric_.default                                 decomp       explicit        1          1          0          geometric
aten.geqrf.default                                      -            -               1          0          1          geqrf
aten.glu.default                                        decomp       explicit        1          1          0          nn.functional.glu
aten.grid_sampler_2d.default                            decomp       explicit        2          0          2          grid_sampler_2d, nn.functional.grid_sample
aten.grid_sampler_3d.default                            -            -               2          0          2          grid_sampler_3d, nn.functional.grid_sample
aten.gt.Scalar                                          single_dim   explicit        1          1          0          linalg.matrix_rank
aten.gt.Tensor                                          single_dim   explicit        3          3          0          gt, linalg.matrix_rank, linalg.matrix_rank(hermitian)
aten.hardshrink.default                                 decomp       explicit        1          0          1          nn.functional.hardshrink
aten.hardsigmoid.default                                decomp       explicit        1          1          0          nn.functional.hardsigmoid
aten.hardswish.default                                  decomp       explicit        1          1          0          nn.functional.hardswish
aten.hardtanh.default                                   decomp       explicit        2          2          0          nn.functional.hardtanh, nn.functional.relu6
aten.hash_tensor.default                                -            -               1          0          1          hash_tensor
aten.heaviside.default                                  single_dim   explicit        1          1          0          heaviside
aten.histc.default                                      op_strategy  -               1          1          0          histc
aten.histogram.bin_ct                                   -            -               1          0          1          histogram
aten.histogram.bins_tensor                              -            -               1          0          1          histogram
aten.huber_loss.default                                 decomp       explicit        1          1          0          nn.functional.huber_loss
aten.hypot.default                                      single_dim   explicit        1          1          0          hypot
aten.i0.default                                         single_dim   explicit        1          1          0          i0
aten.igamma.default                                     single_dim   explicit        1          1          0          igamma
aten.igammac.default                                    single_dim   explicit        1          1          0          igammac
aten.im2col.default                                     decomp       explicit        1          0          1          nn.functional.unfold
aten.index.Tensor                                       -            -               1          1          1          __getitem__
aten.index_add.default                                  decomp       explicit        1          1          0          index_add
aten.index_copy.default                                 decomp       explicit        1          1          0          index_copy
aten.index_fill.int_Scalar                              decomp       explicit        1          0          1          index_fill
aten.index_fill.int_Tensor                              decomp       explicit        1          1          0          index_fill
aten.index_put.default                                  single_dim   -               1          1          0          index_put
aten.index_reduce.default                               -            -               4          0          4          index_reduce(amax), index_reduce(amin), index_reduce(mean), index_reduce(prod)
aten.index_select.default                               decomp       explicit        2          1          1          index_select, repeat_interleave
aten.isin.Tensor_Tensor                                 decomp       explicit        1          1          0          isin
aten.isinf.default                                      single_dim   explicit        1          1          0          isinf
aten.isnan.default                                      single_dim   explicit        4          4          0          isclose, isnan, nanquantile, quantile
aten.isneginf.default                                   single_dim   explicit        1          1          0          isneginf
aten.isposinf.default                                   single_dim   explicit        1          1          0          isposinf
aten.kthvalue.default                                   -            -               1          0          1          kthvalue
aten.ldexp.Tensor                                       single_dim   explicit        1          1          0          ldexp
aten.le.Scalar                                          single_dim   explicit        5          5          0          corrcoef, cov, nanquantile, nn.functional.poisson_nll_loss, quantile
aten.le.Tensor                                          single_dim   explicit        3          2          1          combinations, isclose, le
aten.leaky_relu.default                                 decomp       explicit        1          1          0          nn.functional.leaky_relu
aten.lerp.Scalar                                        single_dim   explicit        1          1          0          lerp
aten.lerp.Tensor                                        single_dim   explicit        1          1          0          lerp
aten.lerp_.Tensor                                       single_dim   explicit        2          2          0          nanquantile, quantile
aten.lgamma.default                                     single_dim   explicit        1          1          0          lgamma
aten.lift_fresh.default                                 decomp       explicit        19         17         4          __getitem__, masked.amax, masked.amin, masked.argmax, masked.argmin, masked.cumprod, masked.cumsum, masked.log_softmax, masked.logaddexp, masked.logsumexp, masked.mean, masked.median, masked.norm, masked.prod, masked.softmax, masked.softmin, masked.std, masked.sum, masked.var
aten.linalg_cholesky_ex.default                         -            -               2          0          2          linalg.cholesky, linalg.cholesky_ex
aten.linalg_cross.default                               decomp       explicit        2          0          2          cross, linalg.cross
aten.linalg_eig.default                                 -            -               2          0          2          linalg.eig, linalg.eigvals
aten.linalg_householder_product.default                 -            -               1          0          1          linalg.householder_product
aten.linalg_inv_ex.default                              -            -               4          0          4          linalg.inv, linalg.inv_ex, linalg.matrix_power, linalg.tensorinv
aten.linalg_ldl_factor_ex.default                       -            -               2          0          2          linalg.ldl_factor, linalg.ldl_factor_ex
aten.linalg_ldl_solve.default                           -            -               1          0          1          linalg.ldl_solve
aten.linalg_lstsq.default                               -            -               2          0          2          linalg.lstsq, linalg.lstsq(grad_oriented)
aten.linalg_lu.default                                  -            -               1          0          1          linalg.lu
aten.linalg_lu_factor_ex.default                        -            -               3          0          3          linalg.lu_factor, linalg.lu_factor_ex, lu
aten.linalg_lu_solve.default                            -            -               2          0          2          linalg.lu_solve, lu_solve
aten.linalg_matrix_exp.default                          -            -               1          0          1          matrix_exp
aten.linalg_pinv.atol_rtol_tensor                       -            -               4          0          4          linalg.pinv, linalg.pinv(hermitian), linalg.pinv(singular), pinverse
aten.linalg_qr.default                                  op_strategy  -               4          2          2          linalg.qr, pca_lowrank, qr, svd_lowrank
aten.linalg_solve_triangular.default                    -            -               1          0          1          linalg.solve_triangular
aten.linalg_vector_norm.default                         op_strategy  explicit        11         11         0          linalg.matrix_norm, linalg.norm, linalg.norm(subgradients_at_zero), linalg.vector_norm, masked.norm, masked.normalize, nn.functional.cosine_similarity, nn.functional.normalize, norm, norm(fro), norm(inf)
aten.linspace.Tensor_Scalar                             decomp       explicit        1          0          1          linspace(tensor_overload)
aten.linspace.Tensor_Tensor                             decomp       explicit        1          0          1          linspace(tensor_overload)
aten.log.default                                        single_dim   explicit        3          3          0          log, nn.functional.gaussian_nll_loss, nn.functional.poisson_nll_loss
aten.log10.default                                      single_dim   explicit        1          1          0          log10
aten.log1p.default                                      single_dim   explicit        1          1          0          log1p
aten.log2.default                                       single_dim   explicit        1          1          0          log2
aten.log_normal_.default                                decomp       explicit        1          1          0          log_normal
aten.log_sigmoid_forward.default                        decomp       explicit        2          2          0          nn.functional.logsigmoid, nn.functional.multilabel_soft_margin_loss
aten.logaddexp.default                                  single_dim   explicit        2          2          0          logaddexp, masked.logaddexp
aten.logaddexp2.default                                 single_dim   explicit        1          1          0          logaddexp2
aten.logcumsumexp.default                               -            -               1          0          1          logcumsumexp
aten.logical_and.default                                single_dim   explicit        1          1          0          logical_and
aten.logical_and_.default                               single_dim   explicit        2          2          0          nanquantile, quantile
aten.logical_not.default                                single_dim   explicit        1          1          0          logical_not
aten.logical_not_.default                               single_dim   explicit        2          1          1          nanmean, nanquantile
aten.logical_or.default                                 single_dim   explicit        1          1          0          logical_or
aten.logical_xor.default                                single_dim   explicit        1          1          0          logical_xor
aten.logit.default                                      single_dim   explicit        1          1          0          logit
aten.logspace.Tensor_Scalar                             decomp       explicit        1          0          1          logspace(tensor_overload)
aten.logspace.Tensor_Tensor                             decomp       explicit        1          0          1          logspace(tensor_overload)
aten.logsumexp.default                                  op_strategy  explicit        2          2          2          logsumexp, masked.logsumexp
aten.lt.Scalar                                          single_dim   explicit        2          2          0          nanquantile, nn.functional.gaussian_nll_loss
aten.lt.Tensor                                          single_dim   explicit        2          1          1          combinations, lt
aten.lu_unpack.default                                  -            -               1          0          1          lu_unpack
aten.masked_fill.Scalar                                 single_dim   explicit        3          3          0          masked_fill, nn.functional.poisson_nll_loss, quantile
aten.masked_fill.Tensor                                 decomp       explicit        1          1          0          masked_fill
aten.masked_fill_.Scalar                                single_dim   explicit        1          1          0          nanquantile
aten.masked_scatter.default                             -            -               1          0          1          masked_scatter
aten.masked_select.default                              -            -               2          0          2          combinations, masked_select
aten.max.default                                        op_strategy  -               1          1          0          max(reduction_no_dim)
aten.max.dim                                            op_strategy  -               1          1          0          max(reduction_with_dim)
aten.max_pool2d_with_indices.default                    -            -               3          0          3          max_pool2d_with_indices_backward, nn.functional.max_pool1d, nn.functional.max_pool2d
aten.max_pool2d_with_indices_backward.default           -            -               1          0          1          max_pool2d_with_indices_backward
aten.max_pool3d_with_indices.default                    -            -               1          0          1          nn.functional.max_pool3d
aten.max_unpool2d.default                               decomp       explicit        4          0          4          nn.functional.max_unpool1d, nn.functional.max_unpool1d(grad), nn.functional.max_unpool2d, nn.functional.max_unpool2d(grad)
aten.max_unpool3d.default                               decomp       explicit        2          0          2          nn.functional.max_unpool3d, nn.functional.max_unpool3d(grad)
